saleid,ProductID,Date,Zip,Units,Revenue
123,1279,2012-02-22,77002,1,6613.74
124,1213,2002-11-23,33781,1,6677.37
125,548,2008-11-29,98270,1,6107.85
126,690,2012-10-13,63390,1,5039.37
127,2341,2014-03-14,29360,1,5600.7
128,486,2003-02-21,30044,1,11762.1
129,618,2002-10-08,60174,1,14486.85
130,792,2006-02-28,63026,1,786.87
131,976,2002-12-29,40324,1,3779.37
132,550,2003-10-18,13159,1,5200.65
133,757,2001-06-28,80433,1,1007.37
134,224,2005-04-16,64113,1,7556.85
135,796,2002-09-29,98664,1,3338.37
136,1172,2009-01-31,31314,1,5669.37
137,1115,2013-08-27,83642,1,5480.37
138,2055,2004-01-23,64137,1,6929.37
139,1181,2003-11-14,95691,1,5039.37
140,2280,2005-04-07,90063,1,1952.37
141,1049,2013-12-15,54414,1,3149.37
142,671,2004-06-01,55904,1,10706.85
143,675,2006-09-17,44601,1,7862.4
144,688,2012-10-24,15012,1,6614.37
145,792,2006-02-11,33584,1,818.37
146,792,2004-12-30,30512,3,2266.11
147,2269,2004-10-05,55021,1,3527.37
148,1086,2007-12-04,71852,1,1070.37
149,927,2008-08-19,78228,1,6047.37
150,2252,2003-09-25,55418,1,1637.37
151,2387,2009-02-04,68164,1,6299.37
152,2236,2008-12-24,80126,2,4345.74
153,1436,2005-05-12,33016,1,3715.74
154,252,2012-08-16,35128,1,7556.85
155,794,2007-10-19,49623,1,1007.37
156,449,2013-02-25,80525,1,12284.37
157,1991,2007-04-19,98012,1,3842.37
158,992,2008-01-31,60408,1,3590.37
159,2236,2006-02-02,91786,1,2078.37
160,2210,2000-01-15,28412,1,1290.87
161,757,2002-03-27,28226,1,1007.37
162,407,2011-01-12,55391,1,20505.87
163,1182,2008-02-10,73102,1,1889.37
164,2332,2004-02-28,48239,1,5039.37
165,1889,2005-09-18,52747,1,8189.37
166,1259,2006-02-27,98375,1,4534.74
167,595,2005-12-07,13778,1,8879.85
168,2189,2008-11-28,27215,1,3716.37
169,762,2006-08-28,29550,1,2267.37
170,2269,2002-12-28,48813,1,3464.37
171,2359,2002-10-23,23173,1,5165.37
172,2237,2009-10-22,23666,1,2330.37
173,481,2001-10-13,15905,1,9273.6
174,2332,2004-02-04,91206,1,5039.37
175,551,2004-05-21,68510,1,11084.85
176,801,2001-02-03,54451,1,3527.37
177,438,2012-01-22,30101,1,11969.37
178,2263,2005-06-27,84010,1,3716.37
179,1826,2011-06-22,33062,1,2771.37
180,2388,2007-08-13,72058,1,3905.37
181,1685,2008-08-22,86351,1,8188.74
182,1989,2007-10-27,40207,1,4283.37
183,2405,2011-12-04,90017,1,5411.7
184,596,2004-03-03,64063,1,9566.55
185,449,2013-11-21,83402,1,12473.37
186,2253,2003-03-30,89701,1,1637.37
187,1434,2006-06-27,30052,1,4156.74
188,1819,2006-10-27,10536,1,3149.37
189,2240,2000-10-25,60046,1,1038.87
190,2332,2014-02-19,85326,1,7049.7
191,2064,2008-10-30,80517,1,6425.37
192,893,2014-11-30,85048,1,10520.37
193,400,2002-02-01,77612,1,8564.85
194,2252,2007-01-24,83202,1,1574.37
195,829,2014-10-08,94558,1,3968.37
196,1009,2007-11-10,92354,1,1290.87
197,611,2006-11-01,17316,1,17951.85
198,1177,2014-01-16,43130,1,3149.37
199,711,2014-11-21,17213,2,5920.74
200,2056,2005-10-30,53511,1,3968.37
201,2071,2003-11-29,49799,1,4157.37
202,964,2003-02-15,50009,1,3779.37
203,791,2006-05-08,91901,1,818.37
204,1155,2014-05-15,87114,1,6803.37
205,778,2010-11-11,49896,1,1511.37
206,92,2005-01-30,12850,1,11333.7
207,325,2000-12-13,76114,1,6926.85
208,491,2007-12-28,79762,1,11226.6
209,586,2006-09-11,59044,1,4545.45
210,976,2001-09-07,56031,1,3779.37
211,725,2001-01-19,48059,1,1385.37
212,964,2001-01-31,44039,1,3905.37
213,652,2006-11-16,37323,1,9941.4
214,1495,2011-11-30,38570,1,5038.74
215,443,2011-10-07,54014,1,10709.37
216,2064,2001-11-30,19151,1,5952.87
217,1142,2008-04-12,53150,1,8126.37
218,1490,2004-04-22,48353,1,3148.74
219,2213,2005-01-31,29172,1,1070.37
220,1210,2000-09-29,85381,1,6929.37
221,914,2000-08-21,7108,1,6929.37
222,1181,2004-10-22,32776,1,5039.37
223,1186,2009-01-29,52404,1,4598.37
224,1317,2001-07-26,94044,1,3841.74
225,2207,2009-01-03,2777,1,1164.87
226,1009,2009-03-17,95662,1,1353.87
227,762,2006-02-28,85743,1,2204.37
228,910,2003-09-28,28105,1,5165.37
229,647,2001-05-21,27526,1,10732.05
230,1815,2007-11-25,91360,1,3968.37
231,2235,2003-04-15,52556,1,849.87
232,2331,2005-09-23,30019,1,6929.37
233,1997,2008-12-10,12198,1,9449.37
234,757,2000-11-10,19508,1,1007.37
235,609,2003-06-11,60540,1,10202.85
236,2331,2004-02-20,90301,1,6488.37
237,965,2006-09-30,61820,1,6110.37
238,433,2008-03-21,98390,1,11399.85
239,396,2001-10-23,18635,1,10517.85
240,1182,2007-11-07,30236,1,1889.37
241,604,2004-09-30,98005,1,5937.75
242,647,2007-01-07,20874,1,11217.15
243,551,2006-05-07,30016,1,11469.15
244,1364,2009-04-29,28645,1,2455.74
245,2388,1999-11-15,12025,1,3716.37
246,2218,2004-03-19,38313,2,3400.74
247,1116,2002-11-02,60047,1,3117.87
248,635,2003-06-30,21222,1,10580.85
249,786,2003-06-23,85281,1,692.37
250,2277,2003-11-19,41365,1,3149.37
251,1775,2003-05-07,92024,1,8504.37
252,977,2005-08-21,15501,1,5795.37
253,1967,2003-12-30,96001,1,2960.37
254,676,2004-01-16,76140,1,10275.3
255,729,2004-07-20,73644,1,3779.37
256,1129,2011-12-07,10994,1,5921.37
257,1005,2003-06-20,1453,1,1290.87
258,976,2004-09-18,80234,1,3779.37
259,792,2011-05-12,73130,1,944.37
260,1115,2012-07-31,89021,1,5354.37
261,2071,2004-11-05,33012,1,4157.37
262,777,2004-06-19,8037,1,1385.37
263,993,2009-01-30,40216,1,4472.37
264,499,1999-07-15,32137,1,10155.6
265,573,2002-03-13,6770,1,3587.85
266,506,2012-01-30,59223,1,14993.37
267,927,2003-11-08,93433,1,5417.37
268,1425,2007-01-27,21921,1,3684.24
269,1005,2006-01-31,98405,1,1416.87
270,939,2009-10-24,55301,1,4472.37
271,778,2007-02-11,19008,1,1460.97
272,2237,2008-01-27,30028,1,2141.37
273,819,2002-06-28,77536,1,11654.37
274,2154,2014-10-11,10003,1,10079.37
275,259,2006-04-18,30326,1,7556.85
276,2083,1999-11-15,44601,1,3716.37
277,2354,2006-08-28,72513,1,4535.37
278,549,2013-11-27,91910,1,6740.37
279,785,2003-11-27,92570,1,692.37
280,1173,2000-11-26,95301,1,6425.37
281,1213,2006-05-09,1375,1,6047.37
282,1182,2011-10-12,65109,1,2676.87
283,2254,2002-11-23,35621,1,723.87
284,780,2008-12-10,83113,1,4031.37
285,979,2001-11-11,47469,1,4724.37
286,763,2009-09-10,84078,1,3999.87
287,491,2010-10-03,34208,1,10709.37
288,792,2014-06-17,47111,1,881.37
289,443,2008-06-29,76513,1,11084.85
290,993,2006-09-25,62990,1,4157.37
291,967,2004-01-31,40356,1,8378.37
292,644,2007-02-28,95917,1,10902.15
293,1232,2002-12-20,28052,1,4724.37
294,966,2007-11-29,20012,1,6047.37
295,609,2009-03-30,80014,1,10205.37
296,2253,2003-02-27,77363,1,1637.37
297,1518,2006-07-20,89434,1,2361.24
298,2053,2007-12-27,49424,1,4094.37
299,990,2002-06-30,84067,1,5291.37
300,604,2005-09-01,53506,1,5981.85
301,2218,2005-06-30,29653,1,1700.37
302,1123,2003-08-05,48506,1,3149.37
303,1230,2001-02-01,80229,1,6299.37
304,565,2007-03-11,8340,1,10927.35
305,2396,2002-12-10,22031,1,1070.37
306,702,2004-04-30,37064,1,3464.37
307,2090,2009-02-14,28762,1,4283.37
308,418,2005-07-07,73501,1,10832.85
309,1062,2001-04-18,49014,1,1763.37
310,1060,2011-11-30,22733,1,2015.37
311,599,2010-11-26,18372,1,10643.85
312,2350,2009-12-25,92555,1,4403.7
313,437,2003-10-18,98107,1,9645.3
314,2255,2007-08-28,46122,1,692.37
315,1182,2011-11-05,92376,1,2519.37
316,1086,2006-05-14,94565,1,1070.37
317,1318,2002-11-06,6811,1,3873.24
318,2396,2004-09-16,70065,1,1070.37
319,770,2001-12-21,91316,1,3149.37
320,1116,2006-09-10,34606,1,3212.37
321,2284,2000-04-15,92392,1,3590.37
322,472,2003-02-22,62521,1,11535.3
323,976,2006-11-20,59330,1,4157.37
324,736,2013-02-25,72921,1,5317.2
325,734,2004-10-05,55056,1,4094.37
326,762,2012-05-11,21122,1,2330.37
327,2016,2004-04-22,19512,1,3716.37
328,120,2000-06-15,46307,1,10073.7
329,2045,2003-10-07,44055,1,5039.37
330,2047,2000-11-01,60625,1,4566.87
331,786,2001-06-14,55110,1,818.37
332,1093,2005-10-27,99217,1,692.37
333,791,2006-09-23,43080,1,786.87
334,768,2003-01-31,75013,1,1259.37
335,1085,2012-02-17,33404,1,1385.37
336,2334,2006-09-27,30012,1,4283.37
337,604,2006-01-14,71112,1,5981.85
338,785,2001-06-11,90278,1,818.37
339,786,2003-05-30,93035,1,692.37
340,1182,2009-09-20,6471,1,2582.37
341,2334,2007-03-13,93003,1,4283.37
342,1002,2007-05-09,23831,1,3338.37
343,605,2008-01-26,30263,1,4910.85
344,1982,2012-06-15,76258,5,23306.85
345,1213,2002-12-18,30248,1,6803.37
346,922,2000-11-16,34229,1,5669.37
347,492,2008-09-30,54935,1,11423.79
348,1680,2004-12-21,90265,1,3967.74
349,762,2008-12-24,59270,1,2298.87
350,428,2014-09-23,30701,1,14363.37
351,499,2005-12-13,46060,1,11116.35
352,786,2002-11-09,7202,1,818.37
353,2368,2009-02-28,1083,1,8807.4
354,925,2014-11-28,99506,1,3968.37
355,1759,2014-02-15,49506,1,5285.7
356,964,2004-01-03,41745,1,3779.37
357,1217,2007-09-08,77450,1,6929.37
358,1908,2012-10-09,28086,1,5228.37
359,2207,2011-05-15,17745,1,1227.87
360,1484,2003-06-05,16738,1,849.24
361,763,2004-10-30,20653,1,3653.37
362,635,2005-12-21,90504,1,10675.35
363,491,2010-03-14,19426,1,10709.37
364,36,1999-10-15,98119,1,4977.0
365,1722,2011-12-22,21001,1,1038.87
366,475,2005-05-11,37601,1,12344.85
367,971,2004-02-29,68522,1,15434.37
368,1129,2007-09-30,84404,1,5385.87
369,2353,2006-04-10,92808,1,5291.37
370,2284,2011-10-12,53551,1,4504.5
371,939,2008-11-30,42036,1,4472.37
372,1148,2001-01-19,48103,1,3590.37
373,786,2004-01-21,60051,1,692.37
374,585,2012-08-17,78040,1,5039.37
375,2241,2004-09-05,62301,1,1070.37
376,644,2005-12-03,53005,1,10470.6
377,992,2000-08-29,61469,1,3464.37
378,604,2006-01-07,12208,1,5981.85
379,657,2006-12-26,14224,1,11217.15
380,1117,2000-08-08,24112,1,3590.37
381,1139,2004-05-13,7470,1,8189.37
382,488,2002-02-03,44646,1,11957.4
383,767,2003-11-17,7054,1,1133.37
384,797,2000-11-16,22032,1,3653.37
385,734,2010-06-09,92503,1,4535.37
386,2359,2007-09-30,95367,1,5417.37
387,981,2013-10-30,33301,1,2639.7
388,605,2010-07-29,21601,1,5039.37
389,1085,2006-07-03,20019,1,1070.37
390,1006,2004-06-16,49835,1,1070.37
391,2045,2008-01-30,28390,1,5606.37
392,475,2002-09-05,31092,1,12086.55
393,2269,2003-09-24,85741,1,3527.37
394,907,2007-09-30,7036,1,7118.37
395,908,2014-06-06,92081,1,2645.37
396,1230,2006-06-29,38117,1,5669.37
397,907,2009-01-10,49418,1,7244.37
398,1892,2007-06-22,70815,1,10016.37
399,1182,2007-11-30,71457,1,1889.37
400,409,2006-09-09,47304,1,11598.3
401,206,2010-02-28,34606,1,12308.31
402,449,2011-10-23,29501,1,13226.22
403,548,2009-02-21,16335,1,6236.37
404,2206,2010-02-15,46368,1,1164.87
405,1186,2007-03-15,39828,1,4598.37
406,681,2006-09-27,1085,1,9311.4
407,1097,2006-07-11,80908,2,7432.74
408,438,2008-11-21,61107,1,11765.25
409,467,2002-05-20,98589,1,10807.65
410,2371,2006-10-30,73159,1,6992.37
411,735,2008-10-15,83815,1,4598.37
412,2234,2004-04-26,83202,1,849.87
413,2255,2008-11-28,33890,1,692.37
414,475,2006-02-28,53089,1,13031.55
415,1223,2006-12-22,92692,1,4598.37
416,2238,2006-06-29,89403,1,1542.87
417,1141,2013-01-21,63304,1,10394.37
418,598,2014-07-18,15229,1,11654.37
419,2396,2006-03-08,55364,1,1164.87
420,623,2004-09-27,34788,1,17006.85
421,2254,2001-07-02,39648,1,723.87
422,2263,2012-11-04,25067,1,3842.37
423,2016,2005-06-16,77019,1,3716.37
424,2054,2008-08-14,92114,1,7181.37
425,910,2001-10-25,76544,1,5165.37
426,785,2003-06-05,77346,1,692.37
427,2262,2007-05-03,95366,1,3653.37
428,1230,2001-08-15,70094,1,6299.37
429,2192,1999-11-15,36526,1,2424.87
430,990,2001-09-20,84414,1,5291.37
431,807,2008-09-27,45788,1,2645.37
432,2331,2004-10-16,84037,1,6740.37
433,1171,2013-10-05,89149,1,5102.37
434,826,2007-10-28,38075,1,12347.37
435,2045,2005-11-27,66061,1,5417.37
436,1210,2004-01-30,18822,1,7244.37
437,758,2001-07-31,48187,1,1007.37
438,1597,2003-03-19,90505,1,1825.74
439,2388,2002-12-25,14905,1,3716.37
440,794,2007-06-29,60191,1,1038.87
441,396,2006-11-17,32435,1,11343.15
442,777,2005-06-23,18201,1,1385.37
443,1934,2005-01-06,60014,1,1574.37
444,2199,2008-06-10,95501,1,2393.37
445,572,2005-03-14,21014,1,5351.85
446,730,2002-11-28,23832,1,3716.37
447,499,2005-10-25,94547,1,11179.35
448,449,2011-02-20,61103,1,13226.22
449,2352,2009-12-15,21220,1,4472.37
450,496,2011-09-19,2864,1,11339.37
451,1850,2011-11-25,31792,1,1826.37
452,739,2001-09-27,94560,1,2078.37
453,2091,2006-07-31,80922,1,2015.37
454,1391,2004-12-18,30233,1,1857.24
455,2385,2007-10-16,15239,1,9311.4
456,1443,2007-11-07,82901,1,1353.24
457,641,2005-08-05,62554,1,9840.6
458,1182,2008-10-25,46563,1,1889.37
459,595,2007-05-30,34104,1,9122.4
460,2332,2006-04-05,44646,1,5291.37
461,691,2002-05-24,61846,1,4217.85
462,1062,2010-11-11,72143,1,1889.37
463,2093,2008-04-30,20110,2,10582.74
464,1809,2007-11-30,73115,1,2645.37
465,1364,2010-02-28,71901,1,2455.74
466,977,2006-03-16,36301,1,6110.37
467,768,2002-08-07,17257,1,1259.37
468,407,2010-10-07,15940,1,20505.87
469,496,2007-11-12,6339,1,11147.85
470,1915,2004-06-22,97403,1,5606.37
471,2090,2005-06-24,32065,1,4283.37
472,573,2003-03-30,21227,1,3764.25
473,992,2000-09-29,92336,1,3338.37
474,2380,2006-11-30,17047,1,3653.37
475,794,2004-12-04,92505,1,944.37
476,2331,2001-12-06,93711,1,6488.37
477,910,1999-11-15,45381,1,4976.37
478,1115,2007-09-27,80130,1,4346.37
479,2054,2003-06-10,60195,1,6551.37
480,2269,2010-09-22,92882,1,4188.87
481,1326,2005-10-01,76226,1,4597.74
482,1085,2006-02-22,98629,1,1070.37
483,2407,2001-03-21,29414,1,881.37
484,2082,2004-01-24,95340,1,4031.37
485,725,2005-02-05,17702,1,1322.37
486,491,2009-11-11,61265,1,11339.37
487,787,2001-10-30,81224,1,3779.37
488,852,1999-07-15,80003,1,8945.37
489,797,2003-08-19,92040,1,3716.37
490,990,2001-12-22,11757,1,5291.37
491,1306,2014-11-01,14094,1,10583.37
492,2388,1999-11-15,6111,1,3716.37
493,785,2003-01-16,43567,1,692.37
494,760,2004-02-29,92630,1,1763.37
495,1183,2013-10-27,11554,1,8693.37
496,947,2009-09-27,50533,1,8504.37
497,604,2012-12-30,2885,1,6488.37
498,1114,2009-05-25,86403,1,2204.37
499,2255,2001-11-09,13329,1,723.87
500,1129,2007-01-21,98272,1,5354.37
501,1095,2004-07-15,41472,1,1511.37
502,276,2014-08-25,19702,1,5855.85
503,2380,2001-01-12,29526,1,3590.37
504,1920,2009-06-30,92120,1,3338.37
505,762,2009-11-21,90803,1,2298.87
506,2064,2005-07-27,33611,1,6078.87
507,1884,2006-05-29,32968,1,10142.37
508,585,2013-08-23,65401,1,5039.37
509,2412,2011-01-28,60477,1,1164.87
510,1126,2011-03-15,84097,1,8693.37
511,1540,2004-03-15,94062,1,4534.74
512,487,2007-10-28,66044,1,12722.85
513,2047,2001-08-28,39212,1,4566.87
514,786,2003-08-28,95046,1,692.37
515,759,2011-12-16,2054,1,2015.37
516,549,2011-03-02,15666,1,6614.37
517,1098,2007-11-23,71303,1,3779.37
518,2219,2003-12-30,60143,1,1700.37
519,837,2001-01-11,20601,1,9764.37
520,2083,2000-09-30,75791,1,3747.87
521,733,2008-06-28,79012,1,4535.37
522,1009,2008-06-20,89136,1,1290.87
523,768,2000-11-30,76262,1,1259.37
524,2238,2006-06-04,30115,1,1511.37
525,769,2000-08-17,6042,2,6172.74
526,574,2000-03-15,20650,1,10076.85
527,1034,2001-03-21,68040,1,11966.85
528,438,2008-11-07,59105,1,11765.25
529,976,2005-10-27,74114,1,3842.37
530,487,2008-04-06,52052,1,12722.85
531,1066,2002-08-15,48180,1,3653.37
532,1112,2000-07-28,92277,1,1416.87
533,1223,2014-10-17,5733,1,5354.37
534,759,2009-09-25,85739,1,1983.87
535,791,2004-09-23,93551,1,755.37
536,447,2005-08-21,49321,1,18896.85
537,204,2013-01-19,2779,1,10394.37
538,26,2007-12-20,99516,1,9371.25
539,778,2011-03-22,59526,1,1511.37
540,808,2010-11-13,67060,1,4535.37
541,1969,1999-08-15,92501,1,2865.87
542,1086,2007-06-27,86442,1,1070.37
543,2197,2013-03-18,12180,1,3269.7
544,636,2007-05-17,89012,1,10927.35
545,2254,2007-06-27,68512,1,692.37
546,795,2003-12-18,93035,1,3338.37
547,1129,2007-10-30,17025,1,5385.87
548,2254,2006-10-18,92704,1,679.77
549,733,2004-03-23,75684,1,4094.37
550,906,2008-11-30,12592,1,5354.37
551,1809,2007-11-05,99501,1,2645.37
552,92,2004-09-18,95014,1,11333.7
553,1115,2013-02-28,2330,1,5354.37
554,609,2009-11-26,82604,1,10079.37
555,786,2004-04-15,91935,1,692.37
556,1006,2003-12-12,23669,1,1070.37
557,556,2010-12-05,21784,1,10268.37
558,1517,2006-03-29,84075,1,2361.24
559,2334,2006-11-16,92277,1,4283.37
560,2252,2000-09-27,76266,1,1574.37
561,1435,2000-08-14,26301,1,3778.74
562,2235,2011-06-27,19608,1,818.37
563,438,2010-11-11,48906,1,11969.37
564,2376,2008-08-11,57703,1,8252.37
565,819,2010-05-28,16214,1,14426.37
566,2045,2008-10-29,44118,1,5921.37
567,676,2012-02-27,2184,1,9134.37
568,793,2005-10-13,12550,1,944.37
569,1005,2001-11-15,72560,1,1290.87
570,794,2006-04-03,30253,1,975.87
571,1836,2002-09-09,22309,1,1763.37
572,487,2012-01-13,16115,1,13229.37
573,2331,2014-05-12,80219,1,8939.7
574,2225,2007-06-27,62692,1,723.87
575,2353,2000-08-24,19440,1,4913.37
576,409,2006-10-06,94605,1,11661.3
577,1715,2013-01-21,48093,1,3306.87
578,791,2006-06-29,85365,1,818.37
579,443,2007-03-14,93312,1,10990.35
580,964,2003-10-30,30213,1,4031.37
581,993,2007-01-31,54180,1,4409.37
582,964,2001-01-27,62703,1,3779.37
583,487,2009-09-19,56567,1,13229.37
584,2145,2002-10-30,60012,1,4598.37
585,2275,2007-11-10,83406,1,4472.37
586,726,2000-12-06,49056,1,1385.37
587,438,2009-03-11,45503,1,11969.37
588,2254,2002-10-04,88220,1,723.87
589,1085,2003-06-30,75572,1,1008.0
590,813,2005-01-14,11414,1,3464.37
591,2394,2007-04-05,60657,1,1574.37
592,939,2007-06-27,61611,1,4472.37
593,2255,2003-11-20,17038,1,723.87
594,1424,2011-11-30,83002,1,4409.37
595,409,2006-02-04,32548,1,11598.3
596,499,2003-11-23,33569,1,10939.95
597,1916,2007-10-05,52405,1,3527.37
598,974,2012-04-05,33055,1,8094.87
599,2284,2004-01-31,27025,1,3716.37
600,506,2011-08-23,95982,1,14930.37
601,2215,2008-09-27,33166,1,4535.37
602,1994,2005-11-30,72512,1,7118.37
603,2212,2006-06-29,29615,1,1070.37
604,609,2002-07-22,80234,1,9950.85
605,2368,2012-11-29,6106,1,9632.7
606,1086,2006-02-09,50273,2,2077.74
607,1081,2001-06-21,80501,1,2771.37
608,1053,2011-01-14,22309,1,3527.37
609,940,2002-09-23,48640,1,8252.37
610,467,2002-11-01,77726,1,10807.65
611,2359,2002-11-30,11731,1,5165.37
612,600,2003-02-09,16930,1,8968.05
613,635,2001-11-05,60510,1,10265.85
614,1964,2005-11-13,12992,2,2140.74
615,438,2011-02-12,46947,1,11969.37
616,432,2006-06-20,41701,1,11163.6
617,1212,2014-09-25,2878,1,5795.37
618,2394,2006-11-17,73003,1,1574.37
619,488,2003-03-26,70510,1,13182.75
620,1892,2009-11-30,97267,1,11339.37
621,2332,2009-10-22,98465,1,5858.37
622,2384,2006-03-26,48170,1,7559.37
623,1111,2004-03-25,44256,1,1448.37
624,2393,2008-06-10,28278,1,1259.37
625,648,2005-09-17,64131,1,10391.85
626,572,2007-01-03,76859,1,5629.05
627,618,2002-06-26,92620,1,13230.0
628,433,2007-10-16,24112,1,11399.85
629,2215,2013-04-25,92057,1,4819.5
630,1086,2006-06-02,91321,1,1070.37
631,1086,2002-09-14,75287,1,1008.0
632,635,2002-01-14,6512,1,10265.85
633,491,2001-03-29,85029,1,10228.05
634,2368,2009-11-07,93454,1,8687.7
635,1964,2004-11-18,28791,1,1070.37
636,1330,2001-06-11,77449,1,1302.84
637,725,2001-08-28,39834,1,1448.37
638,1066,2001-10-05,72076,1,3653.37
639,2252,2002-04-04,8731,1,1637.37
640,1886,2011-01-21,56320,1,10079.37
641,746,2007-06-28,92069,1,2645.37
642,2074,2002-10-24,8731,1,4031.37
643,136,2009-01-31,58801,1,4725.0
644,2049,2008-04-11,85379,1,5480.37
645,93,2010-05-10,1450,1,13557.6
646,1358,2014-02-26,8062,1,6204.87
647,2055,2012-05-30,92883,1,8630.37
648,1974,2001-10-30,95831,1,692.37
649,1320,2006-10-27,53527,1,4030.74
650,475,2005-06-30,55746,1,12344.85
